conceptUri,preferredLabel,description
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell."
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,conduct research on flora,"Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function."
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,influence public policies,Communicate with policymakers and provide them with data to convince them to change legislation or allocate funds to a specific cause.
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental development,The incremental development model is a methodology to design software systems and applications.
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,manage time in landscaping,"Plan and implement work schedules to fit in landscaping activities, which include the briefing phase where the landscape project is discussed with a client after which follow a series of sketches, plans and designs."
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,human dynamics as part of hospitality security,The characteristics of human behaviour and human interaction and dynamics to ensure their security in hospitality establishment.
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,network engineering,"The subfield of computer technology that concerns the managing the connectivity of networks through data, voice, calls and wireless network services."
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems."
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,inspect paint quality,"Inspect paint to ensure it is of a good quality by testing the viscosity, homogeneity and other factors."
http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,styles of boxes,Different styles of boxes in Europe. These are defined by a 4-digit code and specified by the European Federation of Corrugated Board Manufacturers (FEFCO). The styles are more an example of complicated and special box designs.
http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,biosecurity related to animals,"Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment."
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang."
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured."
http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,manage temporary ICT networks for live performance,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals."
http://data.europa.eu/esco/skill/0450f6a4-495e-4484-b11f-84e8c12ac5f9,design beer recipes,"Be creative in composing, testing and producing new beer recipes according to specifications and existing recipes."
http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,respond to changing situations in health care,Cope with pressure and respond appropriately and in time to unexpected and rapidly changing situations in healthcare.
http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,set up office equipment,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage."
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language."
